start--------------------------------------------
Received frame with timestamp ,1687243026.47, E2E delay ,3.070271492, and size ,327680,
Received frame with timestamp ,1687243026.52, E2E delay ,3.2043762207, and size ,327680,
Received frame with timestamp ,1687243026.68, E2E delay ,3.09956979752, and size ,327680,
Received frame with timestamp ,1687243026.76, E2E delay ,3.18648815155, and size ,327680,
Received frame with timestamp ,1687243026.81, E2E delay ,3.19649100304, and size ,327680,
Received frame with timestamp ,1687243026.9, E2E delay ,3.18653678894, and size ,327680,
Received frame with timestamp ,1687243026.96, E2E delay ,3.24797344208, and size ,327680,
Received frame with timestamp ,1687243027.11, E2E delay ,3.20505142212, and size ,327680,
Received frame with timestamp ,1687243027.27, E2E delay ,3.14224910736, and size ,327680,
Received frame with timestamp ,1687243027.36, E2E delay ,3.17875409126, and size ,327680,
Received frame with timestamp ,1687243027.65, E2E delay ,3.0157790184, and size ,327680,
Received frame with timestamp ,1687243027.71, E2E delay ,3.10846734047, and size ,327680,
Received frame with timestamp ,1687243027.95, E2E delay ,2.93800568581, and size ,327680,
Received frame with timestamp ,1687243028.13, E2E delay ,2.83219408989, and size ,327680,
Received frame with timestamp ,1687243028.63, E2E delay ,2.40939664841, and size ,327680,
Received frame with timestamp ,1687243028.76, E2E delay ,2.36144351959, and size ,327680,
Received frame with timestamp ,1687243028.92, E2E delay ,2.27291989326, and size ,327680,
Received frame with timestamp ,1687243029.1, E2E delay ,2.17523097992, and size ,327680,
Received frame with timestamp ,1687243029.33, E2E delay ,2.028247118, and size ,327680,
Received frame with timestamp ,1687243029.42, E2E delay ,2.0252571106, and size ,327680,
Received frame with timestamp ,1687243029.5, E2E delay ,1.99875020981, and size ,327680,
Received frame with timestamp ,1687243029.69, E2E delay ,1.87893843651, and size ,327680,
Received frame with timestamp ,1687243029.76, E2E delay ,1.8725066185, and size ,327680,
Received frame with timestamp ,1687243029.92, E2E delay ,1.77579569817, and size ,327680,
Received frame with timestamp ,1687243030.01, E2E delay ,1.75708341599, and size ,327680,
Received frame with timestamp ,1687243030.08, E2E delay ,1.76373887062, and size ,327680,
Received frame with timestamp ,1687243030.24, E2E delay ,1.68723487854, and size ,327680,
Received frame with timestamp ,1687243030.34, E2E delay ,1.64511942863, and size ,327680,
Received frame with timestamp ,1687243030.43, E2E delay ,1.70176887512, and size ,327680,
Received frame with timestamp ,1687243030.57, E2E delay ,1.62774443626, and size ,327680,
Received frame with timestamp ,1687243030.7, E2E delay ,1.55358624458, and size ,327680,
Received frame with timestamp ,1687243030.87, E2E delay ,1.56115579605, and size ,327680,
Received frame with timestamp ,1687243030.95, E2E delay ,1.54279994965, and size ,327680,
Received frame with timestamp ,1687243031.03, E2E delay ,1.55044126511, and size ,327680,
Received frame with timestamp ,1687243031.11, E2E delay ,1.57566165924, and size ,327680,
Received frame with timestamp ,1687243031.16, E2E delay ,1.64695477486, and size ,327680,
Received frame with timestamp ,1687243031.23, E2E delay ,1.72008347511, and size ,327680,
Received frame with timestamp ,1687243031.3, E2E delay ,1.70901370049, and size ,327680,
Received frame with timestamp ,1687243031.38, E2E delay ,1.68450093269, and size ,327680,
Received frame with timestamp ,1687243031.46, E2E delay ,1.76654458046, and size ,327680,
Received frame with timestamp ,1687243031.51, E2E delay ,1.78296804428, and size ,327680,
Received frame with timestamp ,1687243031.6, E2E delay ,1.89726471901, and size ,327680,
Received frame with timestamp ,1687243031.67, E2E delay ,2.02096819878, and size ,327680,
Received frame with timestamp ,1687243031.73, E2E delay ,2.01764535904, and size ,327680,
Received frame with timestamp ,1687243031.81, E2E delay ,2.05505490303, and size ,327680,
Received frame with timestamp ,1687243031.87, E2E delay ,2.12031626701, and size ,327680,
Received frame with timestamp ,1687243031.95, E2E delay ,2.13467693329, and size ,327680,
Received frame with timestamp ,1687243032.09, E2E delay ,2.13507866859, and size ,327680,
Received frame with timestamp ,1687243032.21, E2E delay ,2.06772542, and size ,327680,
Received frame with timestamp ,1687243032.27, E2E delay ,2.11957120895, and size ,327680,
Received frame with timestamp ,1687243032.4, E2E delay ,2.18413758278, and size ,327680,
Received frame with timestamp ,1687243032.45, E2E delay ,2.19168114662, and size ,327680,
Received frame with timestamp ,1687243032.5, E2E delay ,2.20701289177, and size ,327680,
Received frame with timestamp ,1687243032.59, E2E delay ,2.29896831512, and size ,327680,
Received frame with timestamp ,1687243032.66, E2E delay ,2.29425525665, and size ,327680,
Received frame with timestamp ,1687243032.76, E2E delay ,2.30274128914, and size ,327680,
Received frame with timestamp ,1687243032.95, E2E delay ,2.39171075821, and size ,327680,
Received frame with timestamp ,1687243033.02, E2E delay ,2.38549828529, and size ,327680,
Received frame with timestamp ,1687243033.05, E2E delay ,2.51180148125, and size ,327680,
Received frame with timestamp ,1687243033.21, E2E delay ,2.41033577919, and size ,327680,
