start--------------------------------------------
Received frame with timestamp ,1687241678.9, E2E delay ,2.07474088669, and size ,327680,
Received frame with timestamp ,1687241679.02, E2E delay ,2.06714057922, and size ,327680,
Received frame with timestamp ,1687241679.12, E2E delay ,2.0547208786, and size ,327680,
Received frame with timestamp ,1687241679.21, E2E delay ,2.10451197624, and size ,327680,
Received frame with timestamp ,1687241679.38, E2E delay ,2.03106164932, and size ,327680,
Received frame with timestamp ,1687241679.54, E2E delay ,1.97214913368, and size ,327680,
Received frame with timestamp ,1687241679.8, E2E delay ,1.76885819435, and size ,327680,
Received frame with timestamp ,1687241679.96, E2E delay ,1.69544744492, and size ,327680,
Received frame with timestamp ,1687241680.0, E2E delay ,1.72231841087, and size ,327680,
Received frame with timestamp ,1687241680.03, E2E delay ,1.85232520103, and size ,327680,
Received frame with timestamp ,1687241680.11, E2E delay ,1.83727908134, and size ,327680,
Received frame with timestamp ,1687241680.2, E2E delay ,1.84706997871, and size ,327680,
Received frame with timestamp ,1687241680.29, E2E delay ,1.85358572006, and size ,327680,
Received frame with timestamp ,1687241680.38, E2E delay ,1.869815588, and size ,327680,
Received frame with timestamp ,1687241680.48, E2E delay ,1.85077381134, and size ,327680,
Received frame with timestamp ,1687241680.61, E2E delay ,1.81919503212, and size ,327680,
Received frame with timestamp ,1687241680.68, E2E delay ,1.84540891647, and size ,327680,
Received frame with timestamp ,1687241680.81, E2E delay ,1.84633994102, and size ,327680,
Received frame with timestamp ,1687241680.87, E2E delay ,1.86668753624, and size ,327680,
Received frame with timestamp ,1687241681.14, E2E delay ,1.79555273056, and size ,327680,
Received frame with timestamp ,1687241681.18, E2E delay ,1.83605766296, and size ,327680,
Received frame with timestamp ,1687241681.24, E2E delay ,2.0163564682, and size ,327680,
Received frame with timestamp ,1687241681.31, E2E delay ,2.0382707119, and size ,327680,
Received frame with timestamp ,1687241681.39, E2E delay ,2.10879826546, and size ,327680,
Received frame with timestamp ,1687241681.52, E2E delay ,2.05951690674, and size ,327680,
Received frame with timestamp ,1687241681.6, E2E delay ,2.14872503281, and size ,327680,
Received frame with timestamp ,1687241681.66, E2E delay ,2.15927410126, and size ,327680,
Received frame with timestamp ,1687241681.74, E2E delay ,2.2383389473, and size ,327680,
Received frame with timestamp ,1687241681.89, E2E delay ,2.2229077816, and size ,327680,
Received frame with timestamp ,1687241681.95, E2E delay ,2.22550916672, and size ,327680,
Received frame with timestamp ,1687241682.01, E2E delay ,2.28658628464, and size ,327680,
Received frame with timestamp ,1687241682.1, E2E delay ,2.28255987167, and size ,327680,
Received frame with timestamp ,1687241682.28, E2E delay ,2.18809127808, and size ,327680,
Received frame with timestamp ,1687241682.34, E2E delay ,2.23520541191, and size ,327680,
Received frame with timestamp ,1687241682.42, E2E delay ,2.31302237511, and size ,327680,
Received frame with timestamp ,1687241682.51, E2E delay ,2.33791255951, and size ,327680,
Received frame with timestamp ,1687241682.6, E2E delay ,2.30825304985, and size ,327680,
Received frame with timestamp ,1687241682.73, E2E delay ,2.24858927727, and size ,327680,
Received frame with timestamp ,1687241682.8, E2E delay ,2.24875807762, and size ,327680,
Received frame with timestamp ,1687241683.0, E2E delay ,2.12192726135, and size ,327680,
Received frame with timestamp ,1687241683.1, E2E delay ,2.0906701088, and size ,327680,
Received frame with timestamp ,1687241683.32, E2E delay ,2.00298571587, and size ,327680,
Received frame with timestamp ,1687241683.4, E2E delay ,1.97953271866, and size ,327680,
Received frame with timestamp ,1687241683.55, E2E delay ,1.92692327499, and size ,327680,
Received frame with timestamp ,1687241683.63, E2E delay ,1.94789218903, and size ,327680,
Received frame with timestamp ,1687241683.83, E2E delay ,1.92046666145, and size ,327680,
Received frame with timestamp ,1687241683.89, E2E delay ,1.97664499283, and size ,327680,
Received frame with timestamp ,1687241684.04, E2E delay ,1.93240571022, and size ,327680,
Received frame with timestamp ,1687241684.4, E2E delay ,1.6473031044, and size ,327680,
Received frame with timestamp ,1687241684.44, E2E delay ,1.73141860962, and size ,327680,
Received frame with timestamp ,1687241684.49, E2E delay ,1.84315013885, and size ,327680,
Received frame with timestamp ,1687241684.54, E2E delay ,1.93733882904, and size ,327680,
Received frame with timestamp ,1687241684.6, E2E delay ,1.9457359314, and size ,327680,
Received frame with timestamp ,1687241684.75, E2E delay ,1.89723348618, and size ,327680,
Received frame with timestamp ,1687241684.86, E2E delay ,1.90636014938, and size ,327680,
Received frame with timestamp ,1687241684.93, E2E delay ,1.97092437744, and size ,327680,
Received frame with timestamp ,1687241685.01, E2E delay ,2.00193095207, and size ,327680,
Received frame with timestamp ,1687241685.06, E2E delay ,2.06367135048, and size ,327680,
Received frame with timestamp ,1687241685.13, E2E delay ,2.10753583908, and size ,327680,
Received frame with timestamp ,1687241685.2, E2E delay ,2.22068047523, and size ,327680,
Received frame with timestamp ,1687241685.33, E2E delay ,2.19458532333, and size ,327680,
Received frame with timestamp ,1687241685.44, E2E delay ,2.14450335503, and size ,327680,
Received frame with timestamp ,1687241685.57, E2E delay ,2.12409567833, and size ,327680,
