start--------------------------------------------
packet_index ,115, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,132.674000,[msec] and size ,40960,
packet_index ,116, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,182.845000,[msec] and size ,40960,
packet_index ,117, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,149.535000,[msec] and size ,40960,
packet_index ,118, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,151.630000,[msec] and size ,40960,
packet_index ,119, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,118.335000,[msec] and size ,40960,
packet_index ,120, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,128.099000,[msec] and size ,40960,
packet_index ,121, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,148.805000,[msec] and size ,40960,
packet_index ,122, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,115.532000,[msec] and size ,40960,
packet_index ,123, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,141.501000,[msec] and size ,40960,
packet_index ,124, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,172.830000,[msec] and size ,40960,
packet_index ,125, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,139.563000,[msec] and size ,40960,
packet_index ,126, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,149.947000,[msec] and size ,40960,
packet_index ,127, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,116.697000,[msec] and size ,40960,
packet_index ,128, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,140.439000,[msec] and size ,40960,
packet_index ,129, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,162.336000,[msec] and size ,40960,
packet_index ,130, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,128.997000,[msec] and size ,40960,
packet_index ,131, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,145.064000,[msec] and size ,40960,
packet_index ,132, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,111.757000,[msec] and size ,40960,
packet_index ,133, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,135.266000,[msec] and size ,40960,
packet_index ,134, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,139.458000,[msec] and size ,40960,
packet_index ,135, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,106.151000,[msec] and size ,40960,
packet_index ,136, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,179.502000,[msec] and size ,40960,
packet_index ,137, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,179.454000,[msec] and size ,40960,
packet_index ,138, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,146.201000,[msec] and size ,40960,
packet_index ,139, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,112.804000,[msec] and size ,40960,
packet_index ,140, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,132.762000,[msec] and size ,40960,
packet_index ,141, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,164.069000,[msec] and size ,40960,
packet_index ,142, sent_timestamp ,Tue Oct 10 21:12:19 2023,received-send delay ,130.797000,[msec] and size ,40960,
packet_index ,143, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,180.099000,[msec] and size ,40960,
packet_index ,144, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,146.673000,[msec] and size ,40960,
packet_index ,145, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,146.316000,[msec] and size ,40960,
packet_index ,146, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,113.107000,[msec] and size ,40960,
packet_index ,147, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,109.790000,[msec] and size ,40960,
packet_index ,148, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,109.088000,[msec] and size ,40960,
packet_index ,149, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,128.177000,[msec] and size ,40960,
packet_index ,150, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,178.095000,[msec] and size ,40960,
packet_index ,151, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,144.813000,[msec] and size ,40960,
packet_index ,152, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,217.043000,[msec] and size ,40960,
packet_index ,153, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,183.768000,[msec] and size ,40960,
packet_index ,154, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,182.164000,[msec] and size ,40960,
packet_index ,155, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,148.869000,[msec] and size ,40960,
packet_index ,156, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,115.479000,[msec] and size ,40960,
packet_index ,157, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,127.840000,[msec] and size ,40960,
packet_index ,158, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,164.781000,[msec] and size ,40960,
packet_index ,159, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,131.509000,[msec] and size ,40960,
packet_index ,160, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,141.092000,[msec] and size ,40960,
packet_index ,161, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,107.707000,[msec] and size ,40960,
packet_index ,162, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,142.187000,[msec] and size ,40960,
packet_index ,163, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,150.181000,[msec] and size ,40960,
packet_index ,164, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,116.981000,[msec] and size ,40960,
packet_index ,165, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,110.992000,[msec] and size ,40960,
packet_index ,166, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,139.699000,[msec] and size ,40960,
packet_index ,167, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,187.820000,[msec] and size ,40960,
packet_index ,168, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,154.549000,[msec] and size ,40960,
packet_index ,169, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,197.703000,[msec] and size ,40960,
packet_index ,170, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,164.416000,[msec] and size ,40960,
packet_index ,171, sent_timestamp ,Tue Oct 10 21:12:20 2023,received-send delay ,223.809000,[msec] and size ,40960,
packet_index ,172, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,190.576000,[msec] and size ,40960,
packet_index ,173, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,157.234000,[msec] and size ,40960,
packet_index ,174, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,195.327000,[msec] and size ,40960,
packet_index ,175, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,162.135000,[msec] and size ,40960,
packet_index ,176, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,128.792000,[msec] and size ,40960,
packet_index ,177, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,167.693000,[msec] and size ,40960,
packet_index ,178, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,134.258000,[msec] and size ,40960,
packet_index ,179, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,145.749000,[msec] and size ,40960,
packet_index ,180, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,112.591000,[msec] and size ,40960,
packet_index ,181, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,132.916000,[msec] and size ,40960,
packet_index ,182, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,145.170000,[msec] and size ,40960,
packet_index ,183, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,112.006000,[msec] and size ,40960,
packet_index ,184, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,121.993000,[msec] and size ,40960,
packet_index ,185, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,146.096000,[msec] and size ,40960,
packet_index ,186, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,112.806000,[msec] and size ,40960,
packet_index ,187, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,139.494000,[msec] and size ,40960,
packet_index ,188, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,146.565000,[msec] and size ,40960,
packet_index ,189, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,113.315000,[msec] and size ,40960,
packet_index ,190, sent_timestamp ,Tue Oct 10 21:12:21 2023,received-send delay ,138.487000,[msec] and size ,40960,
